Email,Zip code
dharmatest01@mail.com,1
dharmatest09@mail.com,2
dharmatest01@mail.com,3
dharmatest09@mail.com,4
dharmatest01@mail.com,5
dharmatest09@mail.com,6
dharmatest01@mail.com,7
dharmatest09@mail.com,8
dharmatest01@mail.com,9
dharmatest09@mail.com,10
dharmatest01@mail.com,11
dharmatest09@mail.com,12
dharmatest01@mail.com,13
dharmatest09@mail.com,14
dharmatest01@mail.com,15
dharmatest09@mail.com,16
dharmatest01@mail.com,17
dharmatest09@mail.com,18
dharmatest01@mail.com,19
dharmatest09@mail.com,20
dharmatest01@mail.com,21
dharmatest09@mail.com,22
dharmatest01@mail.com,23
dharmatest09@mail.com,24
dharmatest01@mail.com,25
dharmatest09@mail.com,26
dharmatest01@mail.com,27
dharmatest09@mail.com,28
dharmatest01@mail.com,29
dharmatest09@mail.com,30
dharmatest01@mail.com,31
dharmatest09@mail.com,32
dharmatest01@mail.com,33
dharmatest09@mail.com,34
dharmatest01@mail.com,35
dharmatest09@mail.com,36
dharmatest01@mail.com,37
dharmatest09@mail.com,38
dharmatest01@mail.com,39
dharmatest09@mail.com,40
dharmatest01@mail.com,41
dharmatest09@mail.com,42
dharmatest01@mail.com,43
dharmatest09@mail.com,44
dharmatest01@mail.com,45
dharmatest09@mail.com,46
dharmatest01@mail.com,47
dharmatest09@mail.com,48
dharmatest01@mail.com,49
dharmatest09@mail.com,50
dharmatest01@mail.com,51
dharmatest09@mail.com,52
dharmatest01@mail.com,53
dharmatest09@mail.com,54
dharmatest01@mail.com,55
dharmatest09@mail.com,56
dharmatest01@mail.com,57
dharmatest09@mail.com,58
dharmatest01@mail.com,59
dharmatest09@mail.com,60
dharmatest01@mail.com,61
dharmatest09@mail.com,62
dharmatest01@mail.com,63
dharmatest09@mail.com,64
dharmatest01@mail.com,65
dharmatest09@mail.com,66
dharmatest01@mail.com,67
dharmatest09@mail.com,68
dharmatest01@mail.com,69
dharmatest09@mail.com,70
dharmatest01@mail.com,71
dharmatest09@mail.com,72
dharmatest01@mail.com,73
dharmatest09@mail.com,74
dharmatest01@mail.com,75
dharmatest09@mail.com,76
dharmatest01@mail.com,77
dharmatest09@mail.com,78
dharmatest01@mail.com,79
dharmatest09@mail.com,80
dharmatest01@mail.com,81
dharmatest09@mail.com,82
dharmatest01@mail.com,83
dharmatest09@mail.com,84
